,subjects,variables,parameter,value
438,83,median,beta_2,1.8082187175750732
439,84,median,beta_2,3.1710020303726196
440,85,median,beta_2,5.792234897613525
441,86,median,beta_2,5.825078248977661
442,87,median,beta_2,1.2272295951843262
443,88,median,beta_2,2.007718801498413
444,89,median,beta_2,1.5635199546813965
445,1,95th,beta_2,1.1356123983860016
446,2,95th,beta_2,4.0923934221267695
447,3,95th,beta_2,1.83437653183937
448,4,95th,beta_2,2.520659577846527
449,5,95th,beta_2,1.0337833762168884
450,6,95th,beta_2,1.1485968112945555
451,7,95th,beta_2,5.436962914466858
452,8,95th,beta_2,16.26862516403198
453,9,95th,beta_2,1.2543281793594359
454,10,95th,beta_2,2.919591414928435
455,11,95th,beta_2,2.103155553340912
456,12,95th,beta_2,0.8748290181159972
457,13,95th,beta_2,3.568940734863281
458,14,95th,beta_2,1.2322407782077784
459,15,95th,beta_2,1.3384648919105528
460,16,95th,beta_2,1.7177907168865203
461,17,95th,beta_2,0.7254436373710631
462,18,95th,beta_2,4.754849004745482
463,19,95th,beta_2,9.35607829093933
464,20,95th,beta_2,6.486915731430053
465,21,95th,beta_2,2.4098458766937254
466,22,95th,beta_2,3.7223909258842465
467,23,95th,beta_2,2.796710681915283
468,24,95th,beta_2,1.4460323750972743
469,25,95th,beta_2,0.9046212673187255
470,26,95th,beta_2,3.480875396728515
471,27,95th,beta_2,2.4725734591484065
472,28,95th,beta_2,1.6521685540676116
473,29,95th,beta_2,1.1407625913619994
474,30,95th,beta_2,3.0447833299636837
475,31,95th,beta_2,6.2415104389190645
476,32,95th,beta_2,5.763165879249572
477,33,95th,beta_2,6.315049862861632
478,34,95th,beta_2,0.8457312107086181
479,35,95th,beta_2,2.225983774662018
480,36,95th,beta_2,1.4131130516529085
481,37,95th,beta_2,1.826783800125122
482,38,95th,beta_2,1.6121147692203521
483,39,95th,beta_2,2.381626832485199
484,40,95th,beta_2,16.90751314163208
485,41,95th,beta_2,3.1498252272605884
486,42,95th,beta_2,1.5768294811248778
487,43,95th,beta_2,2.7676787495613095
488,44,95th,beta_2,2.1278381109237667
489,45,95th,beta_2,7.880292916297912
490,46,95th,beta_2,1.5980149149894711
491,47,95th,beta_2,1.685945558547973
492,48,95th,beta_2,1.720815885066986
493,49,95th,beta_2,3.702153778076171
494,50,95th,beta_2,2.8971646547317498
495,51,95th,beta_2,4.043438029289245
496,52,95th,beta_2,1.296505260467529
497,53,95th,beta_2,23.54521265029907
498,54,95th,beta_2,5.104036712646483
499,55,95th,beta_2,0.828137245774269
500,56,95th,beta_2,8.84901051521301
501,57,95th,beta_2,2.714563608169555
502,58,95th,beta_2,6.075800538063049
503,59,95th,beta_2,1.8037153661251066
504,60,95th,beta_2,0.8693606317043304
505,61,95th,beta_2,1.9448119580745693
506,62,95th,beta_2,11.482331848144531
507,63,95th,beta_2,4.102197217941284
508,64,95th,beta_2,1.62028466463089
509,65,95th,beta_2,2.1599605560302733
510,66,95th,beta_2,14.992278814315792
511,67,95th,beta_2,1.2019246101379393
512,68,95th,beta_2,2.522157371044159
513,69,95th,beta_2,2.9944590926170345
514,70,95th,beta_2,1.1313543379306794
515,71,95th,beta_2,29.214545440673824
516,72,95th,beta_2,1.4308772802352905
517,73,95th,beta_2,2.641559278964996
518,74,95th,beta_2,8.732560777664183
519,75,95th,beta_2,1.565936243534088
520,76,95th,beta_2,5.529299950599668
521,77,95th,beta_2,2.2341491222381586
522,78,95th,beta_2,2.6604333281517025
523,79,95th,beta_2,2.7807068467140197
524,80,95th,beta_2,2.0091417551040647
525,81,95th,beta_2,2.7267726778984063
526,82,95th,beta_2,4.410337829589843
527,83,95th,beta_2,2.4427993297576904
528,84,95th,beta_2,5.100383782386779
529,85,95th,beta_2,9.224773263931274
530,86,95th,beta_2,10.38501543998718
531,87,95th,beta_2,1.9420158863067625
532,88,95th,beta_2,3.540538787841797
533,89,95th,beta_2,2.1385653257369994
534,1,5th,bias_1,100.0
535,2,5th,bias_1,100.0
536,3,5th,bias_1,100.0
537,4,5th,bias_1,100.0
538,5,5th,bias_1,100.0
539,6,5th,bias_1,100.0
540,7,5th,bias_1,100.0
541,8,5th,bias_1,100.0
542,9,5th,bias_1,100.0
543,10,5th,bias_1,100.0
544,11,5th,bias_1,100.0
545,12,5th,bias_1,100.0
546,13,5th,bias_1,100.0
547,14,5th,bias_1,100.0
548,15,5th,bias_1,100.0
549,16,5th,bias_1,100.0
550,17,5th,bias_1,100.0
551,18,5th,bias_1,100.0
552,19,5th,bias_1,100.0
553,20,5th,bias_1,100.0
554,21,5th,bias_1,100.0
555,22,5th,bias_1,100.0
556,23,5th,bias_1,100.0
557,24,5th,bias_1,100.0
558,25,5th,bias_1,100.0
559,26,5th,bias_1,100.0
560,27,5th,bias_1,100.0
561,28,5th,bias_1,100.0
562,29,5th,bias_1,100.0
563,30,5th,bias_1,100.0
564,31,5th,bias_1,100.0
565,32,5th,bias_1,100.0
566,33,5th,bias_1,100.0
567,34,5th,bias_1,100.0
568,35,5th,bias_1,100.0
569,36,5th,bias_1,100.0
570,37,5th,bias_1,100.0
571,38,5th,bias_1,100.0
572,39,5th,bias_1,100.0
573,40,5th,bias_1,100.0
574,41,5th,bias_1,100.0
575,42,5th,bias_1,100.0
576,43,5th,bias_1,100.0
577,44,5th,bias_1,100.0
578,45,5th,bias_1,100.0
579,46,5th,bias_1,100.0
580,47,5th,bias_1,100.0
581,48,5th,bias_1,100.0
582,49,5th,bias_1,100.0
583,50,5th,bias_1,100.0
584,51,5th,bias_1,100.0
585,52,5th,bias_1,100.0
586,53,5th,bias_1,100.0
587,54,5th,bias_1,100.0
588,55,5th,bias_1,100.0
589,56,5th,bias_1,100.0
590,57,5th,bias_1,100.0
591,58,5th,bias_1,100.0
592,59,5th,bias_1,100.0
593,60,5th,bias_1,100.0
594,61,5th,bias_1,100.0
595,62,5th,bias_1,100.0
596,63,5th,bias_1,100.0
597,64,5th,bias_1,100.0
598,65,5th,bias_1,100.0
599,66,5th,bias_1,100.0
600,67,5th,bias_1,100.0
601,68,5th,bias_1,100.0
602,69,5th,bias_1,100.0
603,70,5th,bias_1,100.0
604,71,5th,bias_1,100.0
605,72,5th,bias_1,100.0
606,73,5th,bias_1,100.0
607,74,5th,bias_1,100.0
608,75,5th,bias_1,100.0
609,76,5th,bias_1,100.0
610,77,5th,bias_1,100.0
611,78,5th,bias_1,100.0
612,79,5th,bias_1,100.0
613,80,5th,bias_1,100.0
614,81,5th,bias_1,100.0
615,82,5th,bias_1,100.0
616,83,5th,bias_1,100.0
617,84,5th,bias_1,100.0
618,85,5th,bias_1,100.0
619,86,5th,bias_1,100.0
620,87,5th,bias_1,100.0
621,88,5th,bias_1,100.0
622,89,5th,bias_1,100.0
623,1,median,bias_1,100.0
624,2,median,bias_1,100.0
625,3,median,bias_1,100.0
626,4,median,bias_1,100.0
627,5,median,bias_1,100.0
628,6,median,bias_1,100.0
629,7,median,bias_1,100.0
630,8,median,bias_1,100.0
631,9,median,bias_1,100.0
