,elbo,phase
432,6621.110859227181,2
433,6595.982780587673,2
434,6608.267771536112,2
435,6548.9406187623745,2
436,6535.238623195886,2
437,6607.441606703402,2
438,6498.812671016156,2
439,6478.508276639879,2
440,6507.335855337978,2
441,6478.42447771579,2
442,6460.1561080724005,2
443,6481.890261006355,2
444,6477.899538420142,2
445,6430.866545429826,2
446,6412.215951333194,2
447,6406.843204522133,2
448,6385.790727585554,2
449,6412.30514138341,2
450,6387.951069521903,2
451,6420.884148493409,2
452,6383.930104494095,2
453,6370.022063134609,2
454,6355.556062549353,2
455,6369.983059683443,2
456,6353.930517996849,2
457,6330.165580847859,2
458,6329.239381714166,2
459,6327.32640799582,2
460,6335.16332013309,2
461,6308.308938145637,2
462,6323.956877219677,2
463,6307.3516890004275,2
464,6298.409116700292,2
465,6291.964101548492,2
466,6301.888655839861,2
467,6308.394444225728,2
468,6300.124841248989,2
469,6321.726661535725,2
470,6290.718188637496,2
471,6297.340634199976,2
472,6283.13419175446,2
473,6283.435466839373,2
474,6275.087645952404,2
475,6263.3291771888735,2
476,6270.750665243715,2
477,6279.128799602389,2
478,6271.428925871849,2
479,6263.627983957529,2
480,6265.334112523497,2
481,6265.801196673512,2
482,6261.133123980462,2
483,6284.3114273399115,2
484,6261.260631682724,2
485,6267.614464460313,2
486,6251.349217504263,2
487,6259.348064914345,2
488,6250.0616247683765,2
489,6256.170001760126,2
490,6269.484666235745,2
491,6251.991260389984,2
492,6243.347968085111,2
493,6251.690336461365,2
494,6248.9582356102765,2
495,6244.442470949888,2
496,6248.774809142948,2
497,6259.533500641584,2
498,6237.366092215478,2
499,6237.121755944192,2
500,6235.469353367388,2
501,6244.883037899435,2
502,6238.208501016348,2
503,6258.010708947479,2
504,6239.616835050285,2
505,6248.819172801077,2
506,6237.56779203117,2
507,6240.867476791143,2
508,6242.3680521130555,2
509,6246.338700866699,2
510,6248.392880880087,2
511,6245.269051648676,2
512,6236.239815160632,2
513,6227.290136657655,2
514,6229.367105656862,2
515,6225.15542857051,2
516,6234.973611786962,2
517,6232.623857104778,2
518,6234.712341602892,2
519,6230.225646705926,2
520,6237.524652069807,2
521,6222.219028572738,2
522,6219.397920066118,2
523,6237.560276260973,2
524,6223.06753019467,2
525,6222.949215608835,2
526,6242.69718040973,2
527,6240.347548039257,2
528,6239.602032968402,2
529,6234.073935021459,2
530,6228.809479537606,2
531,6230.071185010671,2
532,6226.0668277964005,2
533,6230.1178248427805,2
534,6226.553800470382,2
535,6234.336350110174,2
536,6228.718555663526,2
537,6229.27710583061,2
538,6229.038526620716,2
539,6228.659772492944,2
540,6221.88964978531,2
541,6227.7558847934015,2
542,6221.254632950574,2
543,6226.002022717893,2
544,6228.611175389588,2
545,6228.8317947387695,2
546,6218.544153645635,2
547,6227.3270024888225,2
548,6217.556462846696,2
549,6225.4792102873325,2
550,6222.03116633594,2
551,6217.123061884939,2
552,6223.197346541287,2
553,6221.922648299485,2
554,6221.527741234006,2
555,6216.652545946836,2
556,6216.340783374012,2
557,6222.983743643015,2
558,6223.21570290178,2
559,6227.053194403649,2
560,6227.08303104043,2
561,6227.646434387565,2
562,6214.607203926146,2
563,6225.347455694527,2
564,6222.390496916325,2
565,6219.411394156516,2
566,6228.587424306571,2
567,6220.276552254707,2
568,6215.743255195022,2
569,6221.498124757409,2
570,6229.965990464389,2
571,6217.324073782563,2
572,6213.112475927919,2
573,6220.636561974884,2
574,6212.366517795624,2
575,6223.161732317508,2
576,6224.527568665147,2
577,6216.524280779065,2
578,6220.7026027649645,2
579,6216.506817440688,2
580,6220.392556257546,2
581,6219.7028364598755,2
582,6212.980981906876,2
583,6214.12060905099,2
584,6219.303876335918,2
585,6213.803096756338,2
586,6220.2211755201215,2
587,6222.465232072771,2
588,6212.624095232785,2
589,6211.971881747246,2
590,6211.750550206378,2
591,6219.176640932263,2
592,6212.496618948877,2
593,6220.877035950125,2
594,6215.5176302194595,2
595,6223.429943176358,2
596,6220.173097544908,2
597,6216.190793935954,2
598,6227.474029120803,2
599,6220.42308313474,2
